Item ID,From,To,At
2001,,Backlog,2026-06-01T00:00:00Z
2001,Backlog,Working on it,2026-06-03T00:00:00Z
2001,Working on it,Contract Review,2026-06-25T00:00:00Z
2002,,Backlog,2026-06-01T00:00:00Z
2002,Backlog,Contract Review,2026-06-06T00:00:00Z
2002,Contract Review,Working on it,2026-06-16T00:00:00Z
2002,Working on it,Contract Review,2026-07-01T00:00:00Z
2002,Contract Review,Done,2026-07-10T00:00:00Z
2003,,Working on it,2026-06-05T00:00:00Z
2004,,Backlog,2026-06-10T00:00:00Z
2004,Backlog,Contract Review,2026-07-18T00:00:00Z
